Company Name, Email, Telephone, Website
ACADEMIE SCIENTIFIQUE DE BEAUTE, serviceclient@academiebeaute.com, 01 39 15 39 39, http://www.academiebeaute.com/fr/
ACQUA DI PARMA, customercare@acquadiparma.it, +33-0333-7399, http://www.acquadiparma.com
ATELIER COLOGNE, info@ateliercologne.com, 09 70 44 75 42, http://www.ateliercologne.com
ATRIX - LABORATOIRES DERMATOLOGIQUES EUCERIN, consolde@labo-eucerin.fr, 01 70 37 32 00, http://www.eucerin.fr
AXPHARMA, hmasset@axpharma.com, +33 (0)1 47 04 25 29, http://www.axpharma.com
BAYER HEALTHCARE, NaN, N° vert  0 800 87 54 54, http://www.bayer.fr
BEAUTYGE FRANCE SAS - REVLON, NaN, 01 56 43 71 04, http://www.revlonprofessionalbrands.paris
BEIERSDORF, service.conso@beiersdorf.com, 01 70 37 32 00, http://www.nivea.fr
BENEFIT COSMETICS, pr@benefitcosmetics.com , 0-805-106-149, https://www.benefitcosmetics.com/fr/fr/aide/contactez-nous
BERDOUES PARFUMS ET COSMETIQUES , serviceconsommateurs@parfumsberdoues.com, 05 62 13 56 00, http://www.groupe-berdoues.com
BGSi, contact@pontdesartsparis.fr, 01 46 02 10 14, http://www.pontdesartsparis.fr
BIEN ETRE, NaN, 05 49 00 86 13, NaN
BIOLOGIQUE RECHERCHE, NaN, , http://biologique-recherche.com
BIOPHA, accueil@biolane.fr, 02 51 09 08 08, http://www.biolane.fr
BIOTHERM , NaN, 09 69 32 00 03, http://www.biotherm.fr
BON PARFUMEUR, contact@bonparfumeur.com, 01 83 95 10 90 , http://www.bonparfumeur.com
BRETAGNE COSMETIQUES MARINS , contact@thalion.com, 02 98 04 59 69, http://www.thalion.com
C.F.E.B. SISLEY, contact@sisley-cosmetics.com, 01 86 21 08 00, http://www.sisley-paris.com/fr-FR/ 
CACHAREL, NaN, 05 49 00 86 13, http://www.cacharel.com
CADUM, NaN, 05 49 00 86 13, http://www.cadum.fr
CARITA, NaN, 09 69 39 55 61, http://www.carita.fr
CEBELIA, info@cebelia.paris, 01 48 78 21 13, http://www.cebelia.paris
CHANEL, NaN, 0 800 255 005, http://www.chanel.com
CHANVRIA SARL, contact@chanvria.com , 03 10 95 21 18, http://www.chanvria.com
CLARINS , clarins-conseils@clarins.net, 01 56 60 61 62, http://www.clarins.fr
CLARINS FRAGRANCE GROUP - MARQUE AZZARO, service.client@azzaro.net, 01 56 60 61 61, http://www.azzaroparis.com
CLARINS FRAGRANCE GROUP - MARQUE MUGLER, relations.clientele@mugler.net, 01 56 60 62 62, http://www.mugler.fr
CLARISONIC, NaN, 0 810 833 188, http://www.clarisonic.fr
CODEXIAL, contact@codexial.com, 03 83 41 25 42, http://www.codexial.com
COLGATE-PALMOLIVE, NaN, 09.69.32.05.10 (N° Cristal entre 9h et 17h du lundi au vendredi), NaN
DANIEL HECHTER, NaN, 05 49 00 86 13, http://www.hechter-parfums.fr
DARK'N LOVELY, NaN, 0 810 810 715, NaN
DBA - GROUPE DESSANGE, dba@dessange-international.com, 01 53 83 99 19, http://www.dessange.com 
DECLEOR, NaN, 09 69 39 29 41, http://www.decleor.fr
DELTA PARTNERS, CONTACT@DELTAPARTNERS.FR, 0140552626, http://www.deltapartners.fr
DESSANGE, NaN, 05 49 00 86 13, http://www.secrets-dessange.fr
DIESEL, NaN, 05 49 00 86 13, http://www.diesel.com/fragrances/default/
DOP, NaN, 05 49 00 86 13, http://www.dop.fr
DR PIERRE RICAUD, contact@ricaud.com, 0 805 026 272, http://www.ricaud.com
EAU JEUNE, NaN, 05 49 00 86 13, http://www.eaujeune.fr
ELLA BACHE, info@ellabache.fr, 01 47 72 88 41, http://www.ellabache.com
ELP S.A.S, NaN, 05 53 02 89 50, http://www.sublimo.fr
ERMENEGILDO ZEGNA, NaN, 05 49 00 86 13, http://www.zegna.com/fr/fragrances.html
ESSIE, NaN, 0 810 121 121, http://www.essie.fr
EUCERIN - LABORATOIRES DERMATOLOGIQUES EUCERIN, consolde@labo-eucerin.fr, 01 70 37 32 00, http://www.eucerin.fr
EUGENE PERMA , service.consommateur@eugeneperma.fr , 0 800 28 65 09 , http://www.eugeneperma.com et http://fr.eugeneperma-professionnel.com/  
EVAUX LABORATOIRES, info@evauxlaboratoires.com, 05.55.82.84.41, http://www.evauxlaboratoire.com
FAREVA , beauty.toiletries@fareva.com, 04 75 07 82 10, http://www.fareva.com/
FLUORYL, NaN, 05 49 00 86 13, NaN
FRANCK PROVOST, NaN, 0 810 666 555, http://www.franckprovost-expert.com/
FRESH, inquiries@fresh.com, +1-800-FRESH20, http://www.fresh.com
G. VANDERBILT, NaN, 05 49 00 86 13, NaN
GARNIER, NaN, 0 810 66 63 33, http://www.garnier.fr
GIORGIO ARMANI, NaN, 01 58 61 40 10, http://www.armanibeauty.fr
GISELE DELORME, contact@gisele-delorme.com, 01 42 09 17 95, http://www.gisele-delorme.com
GLB SAS PARFUMS MOLINARD, info@molinard.com, 04 93 36 01 62, http://www.molinard.com
GROUPE CCI PRODUCTIONS- LABORATOIRE OZALYS, contact@laboratoireozalys.com, 02 32 09 42 44 , http://www.ozalys.com
GROUPE PANTHER - MARQUE CHRISTINE DARVIN, export@christine-darvin.com, 05 56 75 33 62, http://www.parfums-christinedarvin.com
GROUPE PANTHER - MARQUE COTTAGE, NaN, 05 56 75 33 62, http://www.cottage.tm.fr
GROUPE PANTHER - MARQUE INSTITUT ARNAUD, NaN, 05 56 75 33 62, http://www.arnaud-institut.com
GROUPE ROCHER , contact@yves-rocher.fr,  0 805 02 30 40, http://www.yves-rocher.fr
GUERLAIN, serviceclients@guerlain.fr , 01 47 48 80 79, http://www.guerlain.com/fr/fr-fr/faq
H POUR HOMME, NaN, 05 49 00 86 13, NaN
HENKEL FRANCE - HENKEL BEAUTY RETAIL, NaN, 01 46 84 92 10, http://www.henkel.fr
HIP, beatrice@hip.fr, 06 99 44 11 71, http://www.hip.fr
IFF INTERNATIONAL FLAVORS AND FRAGRANCES, NaN, 01 46 49 60 60, http://www.iff.com
JEAN-LOUIS DAVID, NaN, 0 810 666 555, http://www.jeanlouisdavid.com/la-marque/nos-produits/la-gamme-grand-public/
KENZO PARFUMS, clientservice@kenzoparfums.fr, 01 72 74 54 50, http://www.kenzo.com/fr/cgv
KERASTASE, NaN, 0 810 054 111, http://www.kerastase.fr
KIEHL'S, NaN, 0 969 390 226, http://www.kiehls.fr
L'OREAL PARIS, NaN, 0 810 18 28 38, http://www.loreal-paris.fr
L'OREAL PROFESSIONNEL, NaN, 0 810 054 111, http://www.lorealprofessionnel.fr
LA COLLINE, beauty@lacolline-skincare.com, 01 43 21 95 95, http://www.lacolline-skincare.com
LA ROCHE POSAY, NaN, 0 810 800 857, http://www.laroche-posay.fr
LABELLO - BEIERSDORF S.A.S., consolde@labo-eucerin.fr, 01 70 37 32 00, http://www.eucerin.fr
LABORATOIRE DERMOPHIL, contact@dermophil.fr, 02 33 30 65 50, http://www.dermophil.fr
LABORATOIRES NAO, info@laboratoiresnao.fr, 02 38 45 78 70, http://www.laboratoiresnao.fr
LABORATOIRES OMEGA PHARMA FRANCE, NaN, 0 810 000 074, http://www.omega-pharma.fr
LABORATOIRES PAYOT, contact@payot.com, 01 55 62 54 56 , http://www.payot.com
LABORATOIRES SARBEC, accueil@sarbec.com, 03 20 69 26 26, http://www.sarbec.com
LANCOME, NaN, 09 69 36 33 88, http://www.lancome.fr
LYON SKIN CARE, NaN, , http://www.lyonskincare.com
M.K FRANCE (Myriam K PARIS), lab@m-kfrance.com, , NaN
MAISON MARGIELA, NaN, 05 49 00 86 13, http://www.maisonmargiela-parfums.com
MAKE UP FOR EVER, NaN, 01 53 05 93 30, http://www.makeupforever.com/fr/fr-fr/faq
MATRIX, NaN, 0 810 054 111, http://www.matrix-france.fr/
MAYBELLINE, NaN, 0 810 121 121, http://www.gemey-maybelline.com
MENNEN, NaN, 05 49 00 86 13, http://www.mennenpournousleshommes.fr/
MIXA, NaN, 0 810 440 880, http://www.mixa.fr/
MIZANI, NaN, 0 810 054 111, http://www.mizani.fr
NARTA, NaN, 05 49 00 86 13, http://www.narta.fr/
NICOLAI, contact@pnicolai.com, 01 44 55 02 00, http://www.pnicolai.com
NIPPON MNEARD FRANCE S.A.S., NaN, 01 53 29 96 11, http://www.menard.fr
NIVEA - BEIERSDORF S.A.S, service.conso@beiersdorf.com, 01 70 37 32 00, http://www.labello.fr
NOBACTER - LABORATOIRES DERMATOLOGIQUES EUCERIN, consolde@labo-eucerin.fr, 01 70 37 32 00, http://www.eucerin.fr
NUDE, Hello@NUDEskincare.com, , http://www.nudeskincare.com/about/contact
NUTRIMETICS FRANCE, accueil@nutrimetics.fr, 01 39 20 74 00, http://www.nutrimetics.fr
ODE COSMETIQUES, contact@ode-cosmetiques.com, 04 67 08 17 62, http://www.ode-cosmetiques.com
PALOMA PICASSO, NaN, 05 49 00 86 13, NaN
PARFUMS CHRISTIAN DIOR, NaN, 01 49 53 88 88 , http://www.dior.com/beauty/fr_fr/contact.html
PARFUMS EMMANUELLE JANE, natali@emmanuellejane.com, 01 48 81 62 60, http://www.emmanuellejane.com
PARFUMS GIVENCHY, NaN, 0 800 570 570, http://www.parfumsgivenchy.com
PATYKA, e-boutique@patyka.com, 01 44 78 28 18, http://www.patyka.com
